% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
339	1	0	8	0	26	7708	0	1	0
340	1	0	12	0	24	6882	0	1	0
341	1	0	15	0	26	7708	0	1	0
342	1	0	20	0	0	349	0	1	0
343	1	0	5	0	26	7708	0	1	0
350	1	0	11	0	26	7708	0	1	0
351	1	0	10	0	28	9422	0	1	0
352	1	0	8	0	26	7708	0	1	0
353	1	0	12	0	24	6882	0	1	0
354	1	0	15	0	26	7708	0	1	0
355	1	0	20	0	28	9422	0	1	0
356	1	0	4	0	26	7708	0	1	0
357	1	0	4	0	26	7708	0	1	0
358	1	0	5	0	26	7708	0	1	0
365	1	0	5	0	26	7708	0	1	0
373	1	0	11	0	26	7708	0	1	0
374	1	0	8	0	26	7708	0	1	0
375	1	0	12	0	24	6882	0	1	0
376	1	0	15	0	26	7708	0	1	0
377	1	0	20	0	28	9422	0	1	0
378	1	0	5	0	26	7708	0	1	0
379	1	0	11	0	26	7708	0	1	0
380	1	0	8	0	26	7708	0	1	0
381	1	0	12	0	24	6882	0	1	0
382	1	0	15	0	26	7708	0	1	0
383	1	0	20	0	28	9422	0	1	0
384	1	0	4	0	26	7708	0	1	0
385	1	0	4	0	26	7708	0	1	0
394	1	0	11	0	26	7708	0	1	0
395	1	0	8	0	26	7708	0	1	0
396	1	0	12	0	24	6882	0	1	0
397	1	0	15	0	26	7708	0	1	0
399	1	0	20	0	28	9422	0	1	0
400	1	0	5	0	26	7708	0	1	0
401	1	0	11	0	26	7708	0	1	0
402	1	0	8	0	26	7708	0	1	0
403	1	0	12	0	24	6882	0	1	0
404	1	0	15	0	26	7708	0	1	0
405	1	0	20	0	28	9422	0	1	0
406	1	0	5	0	26	7708	0	1	0
412	1	0	4	0	26	7708	0	1	0
414	1	0	11	0	26	7708	0	1	0
415	1	0	8	0	26	7708	0	1	0
416	1	0	12	0	24	6882	0	1	0
417	1	0	15	0	26	7708	0	1	0
418	1	0	20	0	28	9422	0	1	0
419	1	0	4	0	26	7708	0	1	0
420	1	0	5	0	26	7708	0	1	0
421	1	0	11	0	26	7708	0	1	0
422	1	0	8	0	26	7708	0	1	0
423	1	0	12	0	24	6882	0	1	0
424	1	0	15	0	26	7708	0	1	0
427	1	0	5	0	26	7708	0	1	0
434	1	0	11	0	26	7708	0	1	0
435	1	0	8	0	26	7708	0	1	0
436	1	0	12	0	24	6882	0	1	0
437	1	0	15	0	26	7708	0	1	0
438	1	0	20	0	28	9422	0	1	0
439	1	0	5	0	26	7708	0	1	0
440	1	0	11	0	26	7708	0	1	0
441	1	0	8	0	26	7708	0	1	0
442	1	0	12	0	24	6882	0	1	0
443	1	0	15	0	26	7708	0	1	0
444	1	0	20	0	28	9422	0	1	0
445	1	0	4	0	26	7708	0	1	0
446	1	0	4	0	26	7708	0	1	0
452	1	0	4	0	26	7708	0	1	0
455	1	0	11	0	26	7708	0	1	0
456	1	0	8	0	26	7708	0	1	0
457	1	0	12	0	24	6882	0	1	0
458	1	0	15	0	26	7708	0	1	0
459	1	0	20	0	28	9422	0	1	0
461	1	0	5	0	26	7708	0	1	0
462	1	0	21	0	28	9422	0	1	0
466	1	0	4	0	26	7708	0	1	0
467	1	0	21	0	28	9422	0	1	0
473	1	0	4	0	26	7708	0	1	0
478	1	0	11	0	26	7708	0	1	0
479	1	0	8	0	26	7708	0	1	0
480	1	0	12	0	24	6882	0	1	0
481	1	0	15	0	26	7708	0	1	0
482	1	0	21	0	28	9422	0	1	0
483	1	0	20	0	28	9422	0	1	0
484	1	0	5	0	26	7708	0	1	0
485	1	0	11	0	26	7708	0	1	0
486	1	0	8	0	26	7708	0	1	0
487	1	0	21	0	28	9422	0	1	0
488	1	0	21	0	28	9422	0	1	0
500	1	0	11	0	26	7708	0	1	0
501	1	0	4	0	26	7708	0	1	0
502	1	0	21	0	28	9422	0	1	0
503	1	0	8	0	26	7708	0	1	0
504	1	0	12	0	24	6882	0	1	0
505	1	0	15	0	26	7708	0	1	0
506	1	0	20	0	28	9422	0	1	0
507	1	0	4	0	26	7708	0	1	0
508	1	0	5	0	26	7708	0	1	0
510	1	0	8	0	26	7708	0	1	0
511	1	0	12	0	24	6882	0	1	0
512	1	0	15	0	26	7708	0	1	0
513	1	0	20	0	28	9422	0	1	0
