timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
1771730914331,00009,2,1,0,0,5,9,11.316131,69.000000,6,7.760209,62.000000,2,3.074070,53.000000,7,-6.824593,33.000000,4,-7.285254,32.000000,8,-17.076539,12.000000,3,-30.688573,0.000000,,,,,,
1771730914331,00016,2,1,0,0,5,16,24.870398,97.000000,6,1.561548,50.000000,2,-2.655820,41.000000,4,-6.198648,34.000000,8,-6.489612,33.000000,7,-14.376150,17.000000,3,-15.781243,15.000000,,,,,,
1771730914431,00009,2,2,0,0,5,9,14.589979,76.000000,2,3.730533,54.000000,6,3.135225,53.000000,4,-5.670710,35.000000,7,-6.560617,33.000000,8,-8.177092,30.000000,3,-27.856406,0.000000,,,,,,
1771730914431,00016,2,2,0,0,5,16,23.398224,94.000000,6,8.426300,63.000000,4,-5.786418,35.000000,2,-7.816192,31.000000,8,-9.361573,27.000000,7,-12.652014,21.000000,3,-14.911653,16.000000,,,,,,
1771730914531,00009,2,2,0,0,5,9,15.739849,78.000000,6,8.302783,63.000000,2,5.730408,58.000000,4,-2.976611,40.000000,7,-11.342633,23.000000,8,-12.653589,21.000000,3,-26.334754,0.000000,,,,,,
1771730914531,00016,2,2,0,0,5,16,14.133939,75.000000,6,11.264314,69.000000,2,7.708584,62.000000,4,-5.112295,36.000000,8,-9.147219,28.000000,7,-12.368932,21.000000,3,-15.809195,14.000000,,,,,,
1771730914631,00009,2,2,0,0,5,9,17.310393,81.000000,6,7.855742,62.000000,2,5.710701,58.000000,4,-3.629511,39.000000,7,-6.611108,33.000000,8,-12.887878,20.000000,3,-26.459118,0.000000,,,,,,
1771730914631,00016,2,2,0,0,5,16,8.157304,63.000000,6,9.991857,67.000000,4,7.011367,60.000000,8,-10.172704,26.000000,2,-10.179098,26.000000,7,-11.298657,24.000000,3,-12.415671,21.000000,,,,,,
1771730914731,00009,2,2,0,0,5,9,22.300581,91.000000,6,7.778460,62.000000,2,2.482778,51.000000,4,-4.152582,38.000000,7,-6.871302,33.000000,8,-16.330024,13.000000,3,-28.121661,0.000000,,,,,,
1771730914731,00016,2,2,0,0,5,16,13.055219,73.000000,6,7.985619,62.000000,4,2.706347,52.000000,2,-3.100491,40.000000,7,-8.135431,30.000000,8,-12.386183,21.000000,3,-14.127283,18.000000,,,,,,
1771730914831,00009,2,2,0,0,5,9,21.578523,90.000000,6,2.331544,51.000000,2,1.970283,50.000000,4,1.589056,50.000000,7,-11.421331,23.000000,8,-15.082635,16.000000,3,-22.030726,2.000000,,,,,,
1771730914831,00016,2,2,0,0,5,16,18.389477,83.000000,6,11.579381,70.000000,4,7.464576,61.000000,2,-0.940998,44.000000,7,-8.031458,30.000000,3,-12.279984,22.000000,8,-13.423824,19.000000,,,,,,
1771730914931,00009,3,2,0,0,5,9,24.901292,97.000000,6,7.136821,61.000000,4,2.005742,50.000000,2,-1.056240,44.000000,7,-7.378124,31.000000,8,-18.378415,9.000000,3,-28.540548,0.000000,,,,,,
1771730914931,00016,3,2,0,0,5,16,15.492517,78.000000,6,15.643781,78.000000,4,2.169176,51.000000,2,-1.880504,43.000000,7,-9.006817,28.000000,3,-10.500385,25.000000,8,-12.588503,21.000000,,,,,,
